,Word,Frequency
370,got the,1
371,the bigger,1
372,bigger wallet.,1
373,The Market,1
374,Market isn't,1
375,"isn't crashing,",1
376,"crashing, it's",1
377,it's inexperienced,1
378,inexperienced users,1
379,users panic,1
380,panic selling.,1
381,selling. Smart,1
382,Smart people,1
383,people will,1
384,will hold,2
385,hold and,1
386,and buy,1
387,"buy more,",1
388,"more, just",1
389,just hold💪✌🏾💯,1
390,hold💪✌🏾💯 If,1
391,If you,9
392,you are,3
393,are Novice,1
394,Novice of,1
395,"of Crypto,",1
396,"Crypto, Join",1
397,Join my,1
398,my tutorial,1
399,tutorial classes,1
400,classes on,1
401,on whatsapp👇👇,1
402,whatsapp👇👇 https://t.co/OefATTnTJs,1
403,https://t.co/OefATTnTJs /#TwitterBan,1
404,/#TwitterBan /,1
405,/ #Bitcoin,1
406,#Bitcoin /,1
407,/ Korean,1
408,Korean /,1
409,/ Erica,1
410,Erica /,1
411,/ Burna,1
412,Burna /,1
413,/ Embolo,1
414,Embolo /,1
415,/ https://t.co/z08Ne14rlX,1
416,"...aéreo, seguros,",1
417,"seguros, custodia,",1
418,"custodia, transporte",1
419,transporte y,1
420,y seguridad,1
421,seguridad terrestre,1
422,terrestre hacia,1
423,hacia las,1
424,"las bóvedas,",2
425,"bóvedas, seguridad",1
426,seguridad y,1
427,y administración,1
428,administración de,1
429,de las,1
430,"bóvedas, distribución",1
431,distribución de,1
432,de ese,2
433,ese dinero,1
434,dinero a,1
435,a los,3
436,"los bancos,",1
437,"bancos, etc.",1
438,"etc. Sí,",1
439,"Sí, todo",1
440,todo lo,1
441,lo absorbe,1
442,absorbe el,1
443,el Gobierno.,2
444,Gobierno. Lo,1
445,Lo mismo,1
446,mismo se,1
447,se hará,1
448,hará con,1
449,"con #bitcoin,",1
450,"#bitcoin, solo",1
451,solo que,1
452,que muchísimo,1
453,muchísimo más,1
454,más barato.,1
455,The President,1
456,President of,1
457,of El,1
458,El Salvador,6
459,Salvador just,1
460,just confirmed,1
461,confirmed the,1
462,the following:,1
463,following: -,1
464,- All,1
465,All USD,1
466,USD -&gt;,1
467,-&gt; #Bitcoin,1
468,#Bitcoin -&gt;,1
469,-&gt; USD,1
470,USD will,1
471,be commission,1
472,commission free,1
473,free -,1
474,- $30,1
475,$30 air-dropped,1
476,air-dropped by,1
477,the govt.,1
478,govt. must,1
479,must be,1
480,be spent,1
481,spent to,1
482,to encourage,1
483,encourage adoption,1
484,adoption -,1
485,- Govt,1
486,Govt wallet,1
487,wallet is,1
488,is VOLUNTARY,1
489,VOLUNTARY &amp;,1
490,&amp; compatible,1
491,compatible -,1
492,- 200,1
493,200 trxn,1
494,trxn points,1
495,points installed,1
496,installed in,1
497,in public,1
498,public spaces,1
499,9. Una,1
500,Una vez,1
501,vez estos,1
502,estos $30,1
503,$30 en,2
504,en #bitcoin,2
505,#bitcoin sean,1
506,"sean gastados,",1
507,"gastados, entrarán",1
508,entrarán al,1
509,al sistema,1
510,sistema normal,1
511,normal y,1
512,y podrán,1
513,podrán mantenerse,1
514,mantenerse en,1
515,"en #bitcoin,",1
516,"#bitcoin, convertirse",1
517,convertirse en,1
518,en dólares,1
519,dólares y/o,1
520,y/o retirarse,1
521,retirarse en,1
522,en efectivo,3
523,efectivo en,1
524,en cualquier,2
525,cualquier punto,1
526,"punto Chivo,",1
527,"Chivo, los",1
528,los cuales,1
529,cuales estarán,1
530,estarán distribuidos,1
531,distribuidos por,1
532,por todo,1
533,todo nuestro,1
534,nuestro país,1
535,país 🇸🇻,1
536,🇸🇻 Espero,1
537,Espero haber,1
538,haber resuelto,1
539,resuelto sus,1
540,sus dudas.,1
541,Banco de,1
542,de México,1
543,"México (@Banxico),",1
544,"(@Banxico), SHCP",1
545,SHCP y,1
546,y CNBV,1
547,CNBV advierten,1
548,advierten sobre,1
549,sobre los,1
550,los riesgos,1
551,riesgos de,1
552,de utilizar,1
553,utilizar activos,1
554,activos virtuales,1
555,"virtuales (Bitcoin,",1
556,"(Bitcoin, Ehter,",1
557,"Ehter, XRP",1
558,XRP y,1
559,y otros):,1
560,otros): Comunicado,1
561,Comunicado completo:,1
562,completo: https://t.co/rJf49Iqzfw,1
563,https://t.co/rJf49Iqzfw https://t.co/TZb5IuLLyf,1
564,8. Los,1
565,Los únicos,1
566,únicos #bitcoin,1
567,#bitcoin que,1
568,que no,1
569,no pueden,1
570,pueden ser,1
571,ser convertidos,1
572,convertidos son,1
573,son los,1
574,los $30,1
575,$30 dólares,1
576,dólares en,2
577,en bitcoin,1
578,bitcoin que,1
579,que dará,1
580,dará el,1
581,Gobierno. Esos,1
582,Esos solo,1
583,solo podrán,1
584,podrán ser,1
585,ser gastados.,1
586,gastados. ¿Por,1
587,¿Por qué?,1
588,qué? Porque,1
589,Porque el,1
590,el propósito,1
591,propósito de,1
592,de esos,1
593,esos $30,1
594,#bitcoin no,1
595,no es,1
596,es regalar,1
597,"regalar dinero,",1
598,"dinero, sino",1
599,sino incentivar,1
600,incentivar el,1
601,el uso,1
602,uso de,2
603,de bitcoin,1
604,bitcoin y,1
605,y de,2
606,de la,4
607,la @chivowallet.,2
608,@chivowallet. Sigue,1
609,7. La,1
610,La conversión,1
611,conversión de,1
612,de dólares,1
613,dólares a,1
614,#bitcoin o,1
615,o de,1
616,de #bitcoin,2
617,#bitcoin a,1
618,a dólares,2
619,dólares es,1
620,es libre,1
621,libre y,1
622,y se,1
623,se puede,1
624,puede hacer,1
625,hacer en,2
626,cualquier momento,1
627,momento desde,1
628,desde la,1
629,"la @chivowallet,",1
630,"@chivowallet, al",1
631,al precio,1
632,precio de,1
633,de mercado,1
634,mercado de,1
635,ese momento.,1
636,momento. Esto,1
637,Esto también,1
638,también es,1
639,es sin,1
640,sin comisión.,2
641,comisión. No,1
642,No es,1
643,es obligación,1
644,obligación hacer,1
645,hacer ninguna,1
646,ninguna conversión,1
647,conversión si,1
648,si no,1
649,no se,1
650,se desea.,1
651,desea. Sigue,1
652,You don't,1
653,don't buy,1
654,buy #gold,1
655,#gold to,1
656,to get,4
657,get rich.,2
658,rich. You,1
659,You buy,1
660,buy gold,1
661,gold to,1
662,to stay,1
663,stay rich.,1
664,rich. Most,1
665,Most people,1
666,people who,1
667,who are,1
668,are buying,1
669,buying #Bitcoin,1
670,#Bitcoin are,1
671,are doing,1
672,doing so,1
673,so to,1
674,rich. The,1
675,The problem,1
676,problem with,1
677,with putting,1
678,putting too,1
679,too much,3
680,much money,2
681,money into,1
682,into something,1
683,something that,1
684,that has,2
685,has the,1
686,the potential,1
687,potential to,2
688,make you,2
689,you rich,1
690,rich is,2
691,is that,2
692,that it,1
693,it also,1
694,also has,1
695,has an,1
696,an even,1
697,even greater,1
698,greater potential,1
699,you poor.,1
700,6. Habrán,1
701,Habrán más,1
702,más de,1
703,de 200,1
704,200 puntos,1
705,puntos Chivo,1
706,Chivo (entre,1
707,(entre cajeros,1
708,cajeros y,1
709,y sucursales),1
710,sucursales) en,1
711,en centros,1
712,centros históricos,1
713,históricos y,1
714,y centros,1
715,"centros comerciales,",1
716,"comerciales, donde",1
717,donde podrán,1
718,podrán retirar,1
719,retirar dólares,1
720,efectivo de,1
721,@chivowallet. También,1
722,También se,1
723,se podrán,1
724,podrán hacer,1
725,"hacer depósitos,",1
726,"depósitos, compra",1
727,compra de,1
728,#bitcoin y,1
729,y otros,1
730,otros servicios.,1
731,servicios. Todo,1
732,Todo será,1
733,será sin,1
734,comisión. Sigue,2
735,5. El,1
736,El dinero,1
737,dinero que,1
738,que se,3
739,se tenga,1
740,tenga o,1
741,o se,1
742,se reciba,1
743,reciba (en,1
744,(en dólares,1
745,dólares o,2
746,o en,1
747,en bitcoin),1
748,bitcoin) en,1
749,en la,1
750,la @chivowallet,2
751,@chivowallet podrá,1
752,podrá ser,1
753,ser retirado,1
754,retirado en,1
755,efectivo (en,1
756,(en dólares),1
757,dólares) en,1
758,en el,1
759,el momento,1
760,momento que,1
761,se desee.,1
762,desee. Se,1
763,Se podrá,1
764,podrá hacer,1
765,en las,2
766,las sucursales,1
767,sucursales físicas,1
768,físicas que,1
769,se abrirán,1
770,abrirán de,1
771,de Chivo,1
772,Chivo y,1
773,y en,1
774,en los,1
775,los Cajeros,1
776,Cajeros Chivo.,1
777,Chivo. Esto,1
778,Esto NO,1
779,NO tendrá,1
780,tendrá comisión.,1
781,4. El,1
782,El uso,1
783,@chivowallet no,1
784,no tendrá,1
785,tendrá ningún,1
786,"ningún costo,",1
787,"costo, no",1
788,no habrá,1
789,habrá comisiones,1
790,comisiones para,1
791,para enviar,1
792,enviar o,1
793,o recibir,2
794,"recibir remesas,",1
795,"remesas, ni",1
796,ni para,1
797,para hacer,1
798,hacer o,1
799,"recibir pagos,",1
800,"pagos, tampoco",1
801,tampoco para,1
802,para convertir,1
803,convertir bitcoin,1
804,bitcoin a,1
805,o viceversa.,1
806,viceversa. No,1
807,No se,1
808,se le,1
809,le cobrará,1
810,cobrará comisión,1
811,comisión a,1
812,"los comercios,",1
813,"comercios, como",1
814,como sí,1
815,sí hacen,1
816,hacen las,1
817,las tarjetas,1
818,tarjetas de,1
819,de crédito.,1
820,crédito. Sigue,1
821,"On Thursday,",1
822,"Thursday, July",1
823,July 1,1
824,1 at,1
825,at 4pm,1
826,4pm EDT,1
827,EDT the,1
828,Bitcoin Mining,1
829,Mining Council,1
830,Council will,1
831,will distribute,1
832,distribute its,1
833,its Q2,1
834,Q2 2021,1
835,"2021 Briefing,",1
836,"Briefing, clarifying",1
837,clarifying actual,1
838,actual #Bitcoin,1
839,#Bitcoin Electricity,1
840,"Electricity Usage,",1
841,"Usage, to",1
842,to be,12
843,be followed,1
844,followed by,1
845,by a,1
846,a briefing,1
847,briefing for,1
848,the general,1
849,general public,1
850,public at,1
851,at 5pm.,1
852,Salvador 🇸🇻,3
853,🇸🇻 is,1
854,is working,3
855,working to,7
856,to structure,1
857,structure the,1
858,the first,8
859,"first state-backed,",1
860,"state-backed, blockchain-based",1
861,blockchain-based securities,1
862,"securities offering,",1
863,"offering, using",1
864,using the,1
865,the Liquid,1
866,"Liquid network,",1
867,"network, a",1
868,#bitcoin scaling,1
869,scaling system.,1
870,system. With,1
871,With @Blockstream's,1
872,"@Blockstream's help,",1
873,"help, the",1
874,the nation,1
875,nation may,1
876,may soon,1
877,soon be,1
878,be mining,1
879,mining #bitcoin,1
880,#bitcoin with,1
881,"with volcanos,",1
882,"volcanos, among",1
883,among other,1
884,other “few,1
885,“few potential,1
886,potential bond,1
887,bond offerings”.,1
888,offerings”. https://t.co/BHOQz6bU6T,1
889,you own,1
890,own 0.21,1
891,"0.21 BTC,",1
892,"BTC, then",1
893,then you,1
894,have more,1
895,more #Bitcoin,1
896,#Bitcoin than,1
897,than 98.71%,1
898,98.71% of,1
899,the worlds,1
900,worlds population,1
901,population can,1
902,can ever,1
903,ever possibly,1
904,possibly have.,1
905,BREAKING: Morgan,1
906,Morgan Stanley,4
907,Stanley equity,1
908,equity fund,1
909,fund owns,1
910,owns 28.2K,2
911,28.2K shares,2
912,shares of,4
913,of Grayscale,4
914,Grayscale #Bitcoin,3
915,"#Bitcoin Trust,",1
916,"Trust, per",1
917,per latest,1
918,latest SEC,1
919,SEC filings.,1
920,$2500 in,1
921,in #Bitcoin,9
922,#Bitcoin to,8
923,to 5,7
924,5 people,2
925,people if,2
926,if I,7
927,I hit,5
928,hit 250k,2
929,250k today.,2
930,today. Just,5
931,Just retweet,6
932,retweet and,6
933,and be,6
934,be following,6
935,following me.,2
936,North American-based,1
937,American-based #Bitcoin,1
938,mining firm,1
939,firm Hut,1
940,Hut 8,1
941,8 has,1
942,has added,1
943,added 500,1
944,500 #BTC,1
945,#BTC to,1
946,to their,3
947,their balance,1
948,balance sheet,1
949,sheet in,1
950,past three,1
951,"three months,",1
952,"months, with",1
953,with a,4
954,a goal,1
955,goal of,1
956,"of 5,000",1
957,"5,000 by",1
958,by year-end.,1
959,year-end. #Bitcoin,1
960,#Bitcoin is,10
961,a network,1
962,network of,1
963,"of beauty,",1
964,"beauty, where",1
965,where it's,1
966,it's profitable,1
967,profitable to,1
968,to recycle,1
969,recycle energy,1
970,energy into,1
971,into human,1
972,human prosperity,1
973,prosperity and,1
974,and freedom.,1
975,freedom. https://t.co/D7f7m6tori,1
976,JUST IN:,1
977,IN: Morgan,1
978,Stanley owns,1
979,#Bitcoin Trust,1
980,The error,1
981,error that,1
982,that most,1
983,most bitcoin,1
984,bitcoin critics,1
985,critics make,1
986,make is,1
987,that they,2
988,they can’t,1
989,can’t argue,1
990,argue the,1
991,the pro-bitcoin,1
992,pro-bitcoin points,1
993,points better,1
994,better than,2
995,than bitcoiners.,1
996,bitcoiners. As,1
997,As Charlie,1
998,Charlie Munger,1
999,Munger famously,1
1000,"famously said,",1
1001,"said, “I",1
1002,“I never,1
1003,never allow,1
1004,allow myself,1
1005,myself to,1
1006,to have,3
1007,have an,1
1008,an opinion,1
1009,opinion on,1
1010,on anything,1
1011,anything that,1
1012,that I,1
1013,I don’t,1
1014,don’t know,1
1015,know the,3
1016,the other,1
1017,other side’s,1
1018,side’s argument,1
1019,argument better,1
1020,than they,1
1021,they do.”,1
1022,is cheap,1
1023,cheap and,1
1024,and Long-Term,1
1025,Long-Term BTC,1
1026,BTC Holders,1
1027,Holders know,1
1028,know it.,1
1029,it. They've,1
1030,They've added,1
1031,"added 741,363",1
1032,"741,363 BTC",1
1033,BTC to,1
1034,their holdings,1
1035,holdings since,1
1036,since the,1
1037,the initial,1
1038,initial price,1
1039,price drawdown,1
1040,drawdown in,1
1041,in late,1
1042,late May.,1
1043,May. *note:,1
1044,*note: some,1
1045,some of,1
1046,of this,3
1047,this is,3
1048,is STHs,1
1049,STHs aging,1
1050,aging into,1
1051,into LTHs,1
1052,LTHs https://t.co/1PfiHotjOK,1
1053,Fix the,2
1054,"the Money,",1
1055,"Money, Fix",1
1056,the World,1
1057,World #Bitcoin,1
1058,#Bitcoin nfa,1
1059,nfa https://t.co/vdG694aOwr,1
1060,$500 in,1
1061,people (,1
1062,( 100,1
1063,100 each,1
1064,each ),1
1065,) if,1
1066,hit 245k,2
1067,245k today.,2
1068,following me,4
1069,"On average,",1
1070,"average, the",1
1071,price of,2
1072,of #bitcoin,1
1073,#bitcoin has,1
1074,has more,1
1075,more than,3
1076,than tripled,1
1077,tripled annually,1
1078,annually for,1
1079,for ten,1
1080,ten years.,1
1081,years. https://t.co/R2bJBATUPg,1
1082,Happy to,1
1083,to pay,2
1084,pay Craig,1
1085,Craig his,1
1086,his costs,1
1087,costs for,1
1088,whitepaper case.,1
1089,case. How,1
1090,How does,1
1091,does a,1
1092,a BTC,1
1093,BTC payment,1
1094,payment to,1
1095,the address,1
1096,address associated,1
1097,associated with,1
1098,with block,1
1099,block #9,1
1100,#9 sound?,1
1101,"""Morgan Stanley",1
1102,Stanley bought,1
1103,"bought 28,289",1
1104,"28,289 shares",2
1105,#Bitcoin Trust.,1
1106,Trust. This,1
1107,a new,3
1108,"new position.""",1
1109,"position."" -",1
1110,- @MacroScope17,1
1111,BTC institutional,1
1112,institutional watch:,1
1113,watch: In,1
1114,In an,1
1115,an SEC,1
1116,SEC filing,1
1117,"filing today,",1
1118,"today, Morgan",1
1119,Stanley Europe,1
1120,Europe Opportunity,1
1121,Opportunity Fund,1
1122,Fund reported,1
1123,reported owning,1
1124,"owning 28,289",1
1125,Grayscale Bitcoin,1
1126,Bitcoin Trust,1
1127,Trust as,1
1128,as of,1
1129,of April,1
1130,April 30.,1
1131,30. This,1
1132,new position.,1
1133,position. Filing:,1
1134,Filing: https://t.co/t0IxUVqkXR,1
1135,Thanks be,1
1136,be to,1
1137,to Jerome,1
1138,Jerome Powell,1
1139,Powell and,1
1140,and the,5
1141,the Fed,2
1142,Fed for,1
1143,for crowding,1
1144,crowding so,1
1145,so many,1
1146,many people,1
1147,people into,1
1148,into #bitcoin,1
1149,#bitcoin 🙏,1
1150,El secreto,1
1151,secreto de,1
1152,de invertir,1
1153,invertir en,1
1154,en #Bitcoin,1
1155,#Bitcoin es,2
1156,es comprar,1
1157,comprar ahora,1
1158,ahora y,1
1159,y no,1
1160,no vender.,1
1161,vender. Solo,1
1162,Solo vende,1
1163,vende con,1
1164,con un,1
1165,un propósito,1
1166,propósito específico,1
1167,específico o,1
1168,o por,1
1169,por necesidad…,1
1170,necesidad… y,1
1171,y si,1
1172,si inviertes,1
1173,"inviertes bien,",1
1174,"bien, lo",1
1175,lo segundo,1
1176,segundo no,1
1177,no pasará,1
1178,pasará 😎.,1
1179,😎. Diversificar,1
1180,Diversificar tus,1
1181,tus inversiones,1
1182,inversiones es,1
1183,es necesario,1
1184,necesario e,1
1185,e inteligente,1
1186,inteligente 😌.,1
1187,IT'S OFFICIAL:,1
1188,OFFICIAL: yesterday,1
1189,yesterday (june,1
1190,(june 27,1
1191,"27 2021),",1
1192,"2021), saw",1
1193,saw the,1
1194,the slowest,1
1195,slowest #bitcoin,1
1196,#bitcoin blocks,1
1197,blocks in,1
1198,in TEN,1
1199,TEN YEARS,1
1200,YEARS (since,1
1201,(since 2010).,1
1202,2010). blocks,1
1203,blocks times,1
1204,times avg.,1
1205,"avg. 23min,",1
1206,"23min, instead",1
1207,instead of,2
1208,the target,1
1209,target 10min.,1
1210,10min. the,1
1211,the latest,1
1212,"latest ""china",1
1213,"""china ban""",1
1214,"ban"" is",1
1215,the most,5
1216,most disruptive,1
1217,disruptive action,1
1218,action the,1
1219,the bitcoin,1
1220,bitcoin network,1
1221,network has,1
1222,has ever,1
1223,"ever faced,",1
1224,"faced, but",1
1225,but it,1
1226,it will,1
1227,"will survive,",1
1228,"survive, adapt,",1
1229,"adapt, thrive",1
1230,thrive 👇,1
1231,👇 https://t.co/vEMR1zlDHx,1
1232,Coinbase has,1
1233,has received,1
1234,received approval,1
1235,approval from,1
1236,from Germany,1
1237,Germany for,1
1238,#Bitcoin and,5
1239,and crypto,2
1240,crypto custody,1
1241,custody business!,1
1242,business! 🙌,1
1243,Yo Americans,1
1244,Americans -,1
1245,- you,1
1246,you can,5
1247,can put,1
1248,put #Bitcoin,1
1249,#Bitcoin into,1
1250,into your,1
1251,your IRA,1
1252,IRA for,1
1253,for retirement.,1
1254,retirement. 🙌,1
1255,The most,1
1256,most successful,1
1257,successful people,1
1258,people in,1
1259,the world,3
1260,world believe,1
1261,believe that,1
1262,that #bitcoin,2
1263,#bitcoin is,2
1264,is gold,1
1265,gold 2.0.,1
1266,2.0. If,1
1267,If you’re,2
1268,you’re not,1
1269,not a,1
1270,"a HODLer,",1
1271,"HODLer, what",1
1272,what do,1
1273,do you,1
1274,you know,3
1275,know that,2
1276,they don’t,1
1277,don’t know?,1
1278,know? https://t.co/USz6DOOMws,1
1279,Bitcoin's hashrate,1
1280,hashrate looks,1
1281,looks like,1
1282,like it,1
1283,it just,2
1284,just listed,1
1285,listed on,1
1286,on Uniswap,1
1287,Uniswap https://t.co/V5Fc8n0oSN,1
1288,This month's,1
1289,month's shout,1
1290,shout out,1
1291,out goes,1
1292,goes to,1
1293,"to China,",1
1294,"China, for",1
1295,for selflessly,1
1296,selflessly helping,1
1297,helping #bitcoin,1
1298,#bitcoin remove,1
1299,remove the,1
1300,the last,1
1301,last area,1
1302,area of,1
1303,of major,1
1304,major centralisation,1
1305,centralisation in,1
1306,in its,1
1307,its network,1
1308,network at,2
1309,at her,1
1310,her own,1
1311,"own loss,",1
1312,"loss, and",1
1313,the loss,1
1314,loss of,1
1315,of her,1
1316,her children,1
1317,children and,1
1318,and her,1
1319,her children's,1
1320,children's children.,1
1321,children. 🙏,1
1322,This Bitcoin,1
1323,Bitcoin chart,1
1324,chart is,1
1325,is crazy.,1
1326,crazy. Oh,1
1327,Oh wait...thats,1
1328,wait...thats actually,1
1329,actually a,1
1330,a chart,1
1331,chart of,1
1332,of US,1
1333,US dollar,1
1334,dollar money,1
1335,money printing.,1
1336,printing. https://t.co/IVdeV8vUpe,1
1337,My latest,1
1338,latest piece,1
1339,piece in,1
1340,in @BitcoinMagazine,1
1341,@BitcoinMagazine on,1
1342,on Projecting,1
1343,Projecting Bitcoin's,1
1344,Bitcoin's Future,1
1345,Future Energy,1
1346,Energy Use,1
1347,Use We,1
1348,We have,1
1349,have likely,1
1350,likely already,1
1351,already hit,1
1352,hit peak,1
1353,"peak emissions,",1
1354,"emissions, and",1
1355,and will,1
1356,will likely,1
1357,likely be,1
1358,be emissionless,1
1359,emissionless in,1
1360,in 10,1
1361,10 years',1
1362,years' time,1
1363,time https://t.co/JFyxkawaH6,1
1364,Mining #Bitcoin,1
1365,#Bitcoin off,1
1366,off the,3
1367,the grid,1
1368,grid with,1
